PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=302 ttl=63 time=450 ms
64 bytes from 10.0.2.22: icmp_seq=303 ttl=63 time=506 ms
64 bytes from 10.0.2.22: icmp_seq=304 ttl=63 time=523 ms
64 bytes from 10.0.2.22: icmp_seq=305 ttl=63 time=530 ms
64 bytes from 10.0.2.22: icmp_seq=306 ttl=63 time=544 ms
64 bytes from 10.0.2.22: icmp_seq=307 ttl=63 time=554 ms
64 bytes from 10.0.2.22: icmp_seq=308 ttl=63 time=578 ms
64 bytes from 10.0.2.22: icmp_seq=309 ttl=63 time=595 ms
64 bytes from 10.0.2.22: icmp_seq=310 ttl=63 time=619 ms
64 bytes from 10.0.2.22: icmp_seq=311 ttl=63 time=624 ms
64 bytes from 10.0.2.22: icmp_seq=312 ttl=63 time=583 ms
64 bytes from 10.0.2.22: icmp_seq=313 ttl=63 time=542 ms
64 bytes from 10.0.2.22: icmp_seq=314 ttl=63 time=518 ms
64 bytes from 10.0.2.22: icmp_seq=315 ttl=63 time=511 ms
64 bytes from 10.0.2.22: icmp_seq=316 ttl=63 time=485 ms
64 bytes from 10.0.2.22: icmp_seq=317 ttl=63 time=450 ms
64 bytes from 10.0.2.22: icmp_seq=318 ttl=63 time=432 ms
64 bytes from 10.0.2.22: icmp_seq=319 ttl=63 time=414 ms
64 bytes from 10.0.2.22: icmp_seq=320 ttl=63 time=388 ms
64 bytes from 10.0.2.22: icmp_seq=321 ttl=63 time=392 ms
64 bytes from 10.0.2.22: icmp_seq=322 ttl=63 time=399 ms
64 bytes from 10.0.2.22: icmp_seq=323 ttl=63 time=398 ms
64 bytes from 10.0.2.22: icmp_seq=324 ttl=63 time=397 ms
64 bytes from 10.0.2.22: icmp_seq=325 ttl=63 time=394 ms
64 bytes from 10.0.2.22: icmp_seq=326 ttl=63 time=381 ms
64 bytes from 10.0.2.22: icmp_seq=327 ttl=63 time=377 ms
64 bytes from 10.0.2.22: icmp_seq=328 ttl=63 time=375 ms
64 bytes from 10.0.2.22: icmp_seq=329 ttl=63 time=370 ms
64 bytes from 10.0.2.22: icmp_seq=330 ttl=63 time=366 ms
64 bytes from 10.0.2.22: icmp_seq=331 ttl=63 time=365 ms
64 bytes from 10.0.2.22: icmp_seq=332 ttl=63 time=364 ms
64 bytes from 10.0.2.22: icmp_seq=333 ttl=63 time=367 ms
64 bytes from 10.0.2.22: icmp_seq=334 ttl=63 time=369 ms
64 bytes from 10.0.2.22: icmp_seq=335 ttl=63 time=370 ms
64 bytes from 10.0.2.22: icmp_seq=336 ttl=63 time=374 ms
64 bytes from 10.0.2.22: icmp_seq=337 ttl=63 time=378 ms
64 bytes from 10.0.2.22: icmp_seq=338 ttl=63 time=384 ms
64 bytes from 10.0.2.22: icmp_seq=339 ttl=63 time=386 ms
64 bytes from 10.0.2.22: icmp_seq=340 ttl=63 time=385 ms
64 bytes from 10.0.2.22: icmp_seq=341 ttl=63 time=385 ms
64 bytes from 10.0.2.22: icmp_seq=342 ttl=63 time=379 ms
64 bytes from 10.0.2.22: icmp_seq=343 ttl=63 time=386 ms
64 bytes from 10.0.2.22: icmp_seq=344 ttl=63 time=398 ms
64 bytes from 10.0.2.22: icmp_seq=345 ttl=63 time=398 ms
64 bytes from 10.0.2.22: icmp_seq=346 ttl=63 time=391 ms
64 bytes from 10.0.2.22: icmp_seq=347 ttl=63 time=388 ms
64 bytes from 10.0.2.22: icmp_seq=348 ttl=63 time=373 ms
64 bytes from 10.0.2.22: icmp_seq=349 ttl=63 time=373 ms
64 bytes from 10.0.2.22: icmp_seq=350 ttl=63 time=376 ms
64 bytes from 10.0.2.22: icmp_seq=351 ttl=63 time=375 ms
64 bytes from 10.0.2.22: icmp_seq=352 ttl=63 time=381 ms
64 bytes from 10.0.2.22: icmp_seq=353 ttl=63 time=379 ms
64 bytes from 10.0.2.22: icmp_seq=354 ttl=63 time=381 ms
64 bytes from 10.0.2.22: icmp_seq=355 ttl=63 time=376 ms
64 bytes from 10.0.2.22: icmp_seq=356 ttl=63 time=373 ms
64 bytes from 10.0.2.22: icmp_seq=357 ttl=63 time=370 ms
64 bytes from 10.0.2.22: icmp_seq=358 ttl=63 time=365 ms
64 bytes from 10.0.2.22: icmp_seq=359 ttl=63 time=365 ms
64 bytes from 10.0.2.22: icmp_seq=360 ttl=63 time=365 ms
64 bytes from 10.0.2.22: icmp_seq=361 ttl=63 time=366 ms
64 bytes from 10.0.2.22: icmp_seq=362 ttl=63 time=368 ms
64 bytes from 10.0.2.22: icmp_seq=363 ttl=63 time=369 ms
64 bytes from 10.0.2.22: icmp_seq=364 ttl=63 time=370 ms
64 bytes from 10.0.2.22: icmp_seq=365 ttl=63 time=371 ms
64 bytes from 10.0.2.22: icmp_seq=366 ttl=63 time=380 ms
64 bytes from 10.0.2.22: icmp_seq=367 ttl=63 time=384 ms
64 bytes from 10.0.2.22: icmp_seq=368 ttl=63 time=391 ms
64 bytes from 10.0.2.22: icmp_seq=369 ttl=63 time=391 ms
64 bytes from 10.0.2.22: icmp_seq=370 ttl=63 time=394 ms
64 bytes from 10.0.2.22: icmp_seq=371 ttl=63 time=402 ms
64 bytes from 10.0.2.22: icmp_seq=372 ttl=63 time=396 ms
64 bytes from 10.0.2.22: icmp_seq=373 ttl=63 time=403 ms
64 bytes from 10.0.2.22: icmp_seq=374 ttl=63 time=402 ms
64 bytes from 10.0.2.22: icmp_seq=375 ttl=63 time=418 ms
64 bytes from 10.0.2.22: icmp_seq=376 ttl=63 time=417 ms
64 bytes from 10.0.2.22: icmp_seq=377 ttl=63 time=411 ms
64 bytes from 10.0.2.22: icmp_seq=378 ttl=63 time=403 ms
64 bytes from 10.0.2.22: icmp_seq=379 ttl=63 time=378 ms
64 bytes from 10.0.2.22: icmp_seq=380 ttl=63 time=371 ms
64 bytes from 10.0.2.22: icmp_seq=381 ttl=63 time=370 ms
64 bytes from 10.0.2.22: icmp_seq=382 ttl=63 time=373 ms
64 bytes from 10.0.2.22: icmp_seq=383 ttl=63 time=374 ms
64 bytes from 10.0.2.22: icmp_seq=384 ttl=63 time=376 ms
64 bytes from 10.0.2.22: icmp_seq=385 ttl=63 time=374 ms
64 bytes from 10.0.2.22: icmp_seq=386 ttl=63 time=373 ms
64 bytes from 10.0.2.22: icmp_seq=387 ttl=63 time=374 ms
64 bytes from 10.0.2.22: icmp_seq=388 ttl=63 time=374 ms
64 bytes from 10.0.2.22: icmp_seq=389 ttl=63 time=374 ms
64 bytes from 10.0.2.22: icmp_seq=390 ttl=63 time=3685 ms
64 bytes from 10.0.2.22: icmp_seq=391 ttl=63 time=8382 ms
64 bytes from 10.0.2.22: icmp_seq=392 ttl=63 time=10173 ms
64 bytes from 10.0.2.22: icmp_seq=393 ttl=63 time=10156 ms
64 bytes from 10.0.2.22: icmp_seq=394 ttl=63 time=10059 ms
64 bytes from 10.0.2.22: icmp_seq=395 ttl=63 time=9959 ms
64 bytes from 10.0.2.22: icmp_seq=396 ttl=63 time=9858 ms
64 bytes from 10.0.2.22: icmp_seq=397 ttl=63 time=9756 ms
64 bytes from 10.0.2.22: icmp_seq=398 ttl=63 time=9654 ms
64 bytes from 10.0.2.22: icmp_seq=399 ttl=63 time=9553 ms
64 bytes from 10.0.2.22: icmp_seq=400 ttl=63 time=9451 ms
64 bytes from 10.0.2.22: icmp_seq=401 ttl=63 time=9348 ms
64 bytes from 10.0.2.22: icmp_seq=402 ttl=63 time=9246 ms
64 bytes from 10.0.2.22: icmp_seq=403 ttl=63 time=9145 ms
64 bytes from 10.0.2.22: icmp_seq=404 ttl=63 time=9044 ms
64 bytes from 10.0.2.22: icmp_seq=405 ttl=63 time=8943 ms
64 bytes from 10.0.2.22: icmp_seq=406 ttl=63 time=8842 ms
64 bytes from 10.0.2.22: icmp_seq=407 ttl=63 time=8740 ms
64 bytes from 10.0.2.22: icmp_seq=408 ttl=63 time=8638 ms
64 bytes from 10.0.2.22: icmp_seq=409 ttl=63 time=8533 ms
64 bytes from 10.0.2.22: icmp_seq=410 ttl=63 time=8435 ms
64 bytes from 10.0.2.22: icmp_seq=411 ttl=63 time=8334 ms
64 bytes from 10.0.2.22: icmp_seq=412 ttl=63 time=8233 ms
64 bytes from 10.0.2.22: icmp_seq=413 ttl=63 time=8130 ms
64 bytes from 10.0.2.22: icmp_seq=414 ttl=63 time=8029 ms
64 bytes from 10.0.2.22: icmp_seq=415 ttl=63 time=7926 ms
64 bytes from 10.0.2.22: icmp_seq=416 ttl=63 time=7826 ms
64 bytes from 10.0.2.22: icmp_seq=417 ttl=63 time=7726 ms
